id,season,pa,avg,babip,bb_rate,k_rate,sprint_speed,swstr,oswing,zswing,swing,ocontact,zcontact,contact,ld,gb,fb,iffb,hr_fb,pull,oppo,hard,team_- - -,team_ARI,team_ATL,team_BAL,team_BOS,team_CHC,team_CHW,team_CIN,team_CLE,team_COL,team_DET,team_HOU,team_KCR,team_LAA,team_LAD,team_MIA,team_MIL,team_MIN,team_NYM,team_NYY,team_OAK,team_PHI,team_PIT,team_SDP,team_SEA,team_SFG,team_STL,team_TBR,team_TEX,team_TOR,team_WSN,player_id
12649,2020,170,0.298,0.313,0.094,0.17600000000000002,3.0,0.109,0.337,0.7659999999999999,0.503,0.6559999999999999,0.872,0.784,0.19699999999999998,0.41,0.39299999999999996,0.125,0.20800000000000002,0.39299999999999996,0.27899999999999997,0.41,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,608
19683,2021,169,0.187,0.245,0.08900000000000001,0.314,4.5,0.128,0.313,0.698,0.469,0.596,0.813,0.727,0.192,0.374,0.434,0.11599999999999999,0.11599999999999999,0.444,0.192,0.34299999999999997,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,824
26540,2024,169,0.232,0.274,0.08900000000000001,0.195,3.5,0.084,0.369,0.642,0.48200000000000004,0.728,0.905,0.825,0.161,0.43200000000000005,0.40700000000000003,0.125,0.063,0.413,0.165,0.248,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,825
19566,2019,169,0.263,0.34,0.077,0.29600000000000004,1.8,0.106,0.3,0.679,0.44799999999999995,0.578,0.892,0.764,0.24,0.40399999999999997,0.35600000000000004,0.10800000000000001,0.18899999999999997,0.34600000000000003,0.28800000000000003,0.413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8
19813,2022,169,0.263,0.374,0.071,0.314,3.6,0.10300000000000001,0.303,0.618,0.436,0.557,0.902,0.764,0.235,0.363,0.402,0.171,0.098,0.466,0.33,0.34,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,826
14350,2023,169,0.236,0.302,0.10099999999999999,0.237,7.5,0.13,0.402,0.635,0.48700000000000004,0.6629999999999999,0.81,0.733,0.168,0.589,0.243,0.077,0.115,0.255,0.318,0.245,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,301
8090,2020,169,0.186,0.25,0.136,0.284,2.0,0.122,0.22899999999999998,0.62,0.39,0.475,0.7979999999999999,0.6859999999999999,0.22,0.385,0.396,0.0,0.111,0.5539999999999999,0.185,0.402,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,71
13836,2019,169,0.252,0.305,0.11199999999999999,0.172,1.1,0.068,0.239,0.618,0.39399999999999996,0.674,0.912,0.826,0.22699999999999998,0.5379999999999999,0.235,0.107,0.036000000000000004,0.32799999999999996,0.353,0.361,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,255
9571,2018,169,0.269,0.331,0.065,0.183,6.7,0.08800000000000001,0.249,0.701,0.45,0.6,0.8959999999999999,0.805,0.248,0.488,0.264,0.156,0.031,0.532,0.135,0.254,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,827
16542,2019,168,0.263,0.327,0.095,0.23800000000000002,4.4,0.107,0.273,0.68,0.452,0.634,0.828,0.763,0.214,0.473,0.313,0.057,0.14300000000000002,0.39299999999999996,0.27699999999999997,0.33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,828
12564,2023,168,0.203,0.29,0.054000000000000006,0.327,4.9,0.147,0.335,0.715,0.508,0.556,0.7979999999999999,0.711,0.17600000000000002,0.402,0.42200000000000004,0.11599999999999999,0.07,0.408,0.252,0.32,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,107
19921,2023,168,0.217,0.29,0.13699999999999998,0.27399999999999997,5.1,0.076,0.212,0.5529999999999999,0.35700000000000004,0.682,0.8420000000000001,0.7879999999999999,0.147,0.379,0.474,0.17800000000000002,0.08900000000000001,0.384,0.303,0.263,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,445
23691,2024,168,0.267,0.342,0.042,0.244,4.1,0.107,0.33899999999999997,0.698,0.498,0.622,0.885,0.785,0.214,0.48700000000000004,0.299,0.057,0.086,0.275,0.36700000000000005,0.35,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,829
16725,2023,168,0.21,0.221,0.048,0.131,1.4,0.07200000000000001,0.395,0.545,0.455,0.7659999999999999,0.925,0.8420000000000001,0.185,0.511,0.304,0.146,0.098,0.375,0.25,0.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,549
22532,2023,168,0.242,0.275,0.06,0.179,5.2,0.075,0.32899999999999996,0.657,0.47200000000000003,0.754,0.8959999999999999,0.84,0.24600000000000002,0.475,0.27899999999999997,0.17600000000000002,0.11800000000000001,0.42100000000000004,0.214,0.214,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,513
16192,2019,167,0.185,0.244,0.126,0.341,6.4,0.13,0.20600000000000002,0.606,0.37200000000000005,0.40700000000000003,0.768,0.6509999999999999,0.182,0.489,0.33,0.069,0.24100000000000002,0.40399999999999997,0.213,0.382,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,830
