id,season,pa,babip,bb_rate,k_rate,sprint_speed,swstr,oswing,zswing,swing,ocontact,zcontact,contact,ld,gb,fb,iffb,hr_fb,pull,oppo,hard,team_- - -,team_ARI,team_ATL,team_BAL,team_BOS,team_CHC,team_CHW,team_CIN,team_CLE,team_COL,team_DET,team_HOU,team_KCR,team_LAA,team_LAD,team_MIA,team_MIL,team_MIN,team_NYM,team_NYY,team_OAK,team_PHI,team_PIT,team_SDP,team_SEA,team_SFG,team_STL,team_TBR,team_TEX,team_TOR,team_WSN,player_id
15112,2024,645,0.32,0.107,0.287,1.9,0.13,0.304,0.6709999999999999,0.4679999999999999,0.57,0.807,0.722,0.195,0.49,0.315,0.0409999999999999,0.165,0.358,0.298,0.389,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,165
8027,2017,301,0.316,0.093,0.156,2.2,0.073,0.326,0.589,0.451,0.73,0.903,0.8370000000000001,0.177,0.46,0.363,0.073,0.171,0.354,0.252,0.3939999999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,322
6035,2015,391,0.3,0.051,0.125,2.0,0.062,0.337,0.613,0.461,0.779,0.922,0.865,0.1669999999999999,0.508,0.325,0.126,0.0969999999999999,0.387,0.217,0.2739999999999999,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,616
14344,2018,660,0.292,0.106,0.247,2.3,0.114,0.251,0.696,0.441,0.672,0.777,0.743,0.211,0.359,0.431,0.15,0.161,0.42,0.241,0.473,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,14
20043,2020,227,0.3,0.088,0.322,5.3,0.221,0.431,0.8220000000000001,0.573,0.471,0.745,0.614,0.198,0.374,0.427,0.143,0.196,0.351,0.282,0.298,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,280
7539,2019,381,0.316,0.11,0.2019999999999999,3.5,0.115,0.319,0.7040000000000001,0.465,0.616,0.853,0.752,0.272,0.418,0.31,0.049,0.099,0.391,0.249,0.375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,261
15564,2019,279,0.29,0.129,0.28,0.6,0.09,0.282,0.612,0.414,0.682,0.853,0.7829999999999999,0.242,0.412,0.345,0.07,0.053,0.3939999999999999,0.242,0.352,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,791
4243,2016,114,0.253,0.105,0.158,2.4,0.11,0.3229999999999999,0.7859999999999999,0.534,0.635,0.868,0.7909999999999999,0.207,0.4629999999999999,0.3289999999999999,0.037,0.111,0.422,0.289,0.289,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1028
11489,2022,456,0.321,0.077,0.239,4.1,0.138,0.352,0.7390000000000001,0.507,0.56,0.847,0.728,0.176,0.409,0.415,0.1119999999999999,0.072,0.406,0.261,0.313,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,407
16376,2018,638,0.289,0.132,0.249,2.4,0.11,0.276,0.6509999999999999,0.432,0.5870000000000001,0.84,0.745,0.196,0.4379999999999999,0.366,0.085,0.1969999999999999,0.43,0.253,0.358,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,158
