id,RAWBA,BAA,total_pa,seasons
12564,0.2650717288491855,0.23693671598002541,3806,9
12590,0.162,0.2265186448611637,169,1
12606,0.176,0.2060061105875803,117,1
12649,0.26023092998955066,0.25762933248457576,957,4
12701,0.2719165727170237,0.27489596301182206,887,2
12723,0.23370777988614802,0.23369779617662717,527,3
12775,0.23532413539367186,0.2394703796876824,2718,8
12797,0.223,0.2321309584812532,103,1
12856,0.264399706098457,0.25917789846257944,5444,10
12858,0.2427424130273871,0.23491555599164918,1351,5
12859,0.24086373292867988,0.242346339658261,3295,10
12861,0.28031584283903677,0.25630184505710957,3945,10
12907,0.2420567400275103,0.2460569700059783,2908,7
12916,0.27384254414650094,0.26771183985231284,6116,10
12926,0.2386654411764706,0.23751706787794966,544,2
12927,0.26100550509221027,0.25199353316318995,3633,8
12937,0.2459341894060996,0.26525804483869314,623,3
12950,0.206,0.2369665965719928,247,1
12956,0.238,0.2224307989548721,119,1
12976,0.187992,0.2107751239669634,2250,8
12977,0.14518181818181816,0.193905077259856,363,2
12979,0.25478385178408053,0.24679967129817584,4372,9
12981,0.2013734939759036,0.219428968150625,415,3
12983,0.2442338129496403,0.2576773611500229,278,2
12984,0.22936400873839433,0.24341622783973443,3662,9
13005,0.26529694323144104,0.28506455829347727,687,4
13051,0.321,0.2593612587540433,360,1
13066,0.26248884758364316,0.23813280112718074,3766,8
13075,0.2824517437145175,0.28657035901024613,1233,3
13110,0.2849864466705952,0.24302430130689415,1697,4
13130,0.24175425531914896,0.22320275635414355,940,4
13132,0.21800000000000003,0.22081941501891142,148,1
13145,0.25829096411586683,0.2580276102848609,4626,9
13151,0.239,0.2555258813484654,128,1
13152,0.26205857214680744,0.25133584767252376,3978,9
13153,0.2273112582781457,0.2341737251549365,302,2
13154,0.25,0.2702854092998565,155,1
13157,0.23111983471074382,0.24101799609802366,484,2
13167,0.151,0.188908187544745,117,1
13176,0.25594767441860466,0.24318892528667502,516,2
13180,0.19200000000000003,0.2415743064206407,234,1
13185,0.24286270871985155,0.2500476899919228,3234,8
13265,0.20007121535181238,0.18219060816117597,2345,8
13277,0.24659202453987727,0.2314441150713537,978,4
13300,0.232,0.2441527331097387,143,1
13301,0.22790645879732735,0.23336916702886268,3592,9
13324,0.25612035225048924,0.27438911831475205,1022,4
13325,0.211,0.24027626101098412,188,1
13329,0.23746446700507615,0.24001391583293566,2364,7
13338,0.2547456258411844,0.25533459371889483,2229,8
13355,0.20739034716342084,0.2113372657779223,1181,7
13356,0.215,0.2330883541669761,197,1
