id,season,pa,avg,babip,bb_rate,k_rate,sprint_speed,swstr,oswing,zswing,swing,ocontact,zcontact,contact,ld,gb,fb,iffb,hr_fb,pull,oppo,hard,team_- - -,team_ARI,team_ATL,team_BAL,team_BOS,team_CHC,team_CHW,team_CIN,team_CLE,team_COL,team_DET,team_HOU,team_KCR,team_LAA,team_LAD,team_MIA,team_MIL,team_MIN,team_NYM,team_NYY,team_OAK,team_PHI,team_PIT,team_SDP,team_SEA,team_SFG,team_STL,team_TBR,team_TEX,team_TOR,team_WSN,player_id,pred_babip,raw_ba,raw_ba_model,plate_score,contact_score,baa_raw,BAA
10556,2022,617,0.248,0.309,0.073,0.185,5.0,0.09,0.293,0.7070000000000001,0.466,0.6729999999999999,0.8859999999999999,0.8079999999999999,0.2289999999999999,0.465,0.307,0.119,0.0069999999999999,0.35,0.308,0.259,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,28,0.3121263412405153,0.248,0.248,0.01833765441754737,0.013299471935954314,0.03163712635350169,106.63441439424531
18363,2019,617,0.255,0.31,0.057,0.2269999999999999,6.6,0.106,0.319,0.7140000000000001,0.489,0.639,0.8690000000000001,0.7829999999999999,0.23,0.4029999999999999,0.367,0.153,0.118,0.451,0.233,0.249,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,233,0.2982699794389268,0.255,0.255,-0.004704168229654991,-0.0005244174112246346,-0.005228585640879625,98.90354757730528
9892,2017,617,0.254,0.274,0.092,0.225,2.6,0.13,0.313,0.733,0.497,0.5820000000000001,0.825,0.7390000000000001,0.208,0.325,0.467,0.051,0.185,0.444,0.212,0.4029999999999999,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,156,0.2883978507468341,0.254,0.254,-0.0005294872891971313,-0.0020459555841068414,-0.002575442873303973,99.45992075641495
15986,2022,617,0.238,0.278,0.079,0.2689999999999999,3.6,0.129,0.337,0.7240000000000001,0.496,0.595,0.836,0.7390000000000001,0.2,0.342,0.4589999999999999,0.103,0.168,0.4039999999999999,0.249,0.352,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,69,0.2817538461518649,0.238,0.238,-0.024468378075398006,-0.012137820164729987,-0.03660619824012799,92.32355411141754
18568,2023,617,0.354,0.362,0.057,0.055,2.9,0.031,0.357,0.688,0.508,0.914,0.953,0.938,0.285,0.429,0.287,0.006,0.065,0.296,0.313,0.298,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,115,0.3366850936400808,0.354,0.354,0.07156826040255475,0.05888256145598979,0.13045082185854454,127.35598677986965
5667,2017,617,0.239,0.302,0.136,0.29,4.8,0.133,0.244,0.708,0.4379999999999999,0.504,0.787,0.696,0.211,0.446,0.3429999999999999,0.068,0.256,0.4679999999999999,0.208,0.341,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,234,0.3026883435069824,0.239,0.239,-0.011551139697248277,0.009721044840854984,-0.0018300948563932922,99.61622280347387
13145,2023,617,0.247,0.287,0.102,0.217,0.7,0.109,0.311,0.735,0.476,0.626,0.867,0.7709999999999999,0.175,0.483,0.341,0.063,0.155,0.457,0.2239999999999999,0.327,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,162,0.2692729324183214,0.247,0.247,-0.015809443043337444,-0.02629963958736561,-0.04210908263070305,91.16958029588298
15149,2021,616,0.255,0.308,0.083,0.2319999999999999,2.1,0.124,0.341,0.665,0.47,0.616,0.83,0.736,0.203,0.483,0.314,0.062,0.162,0.367,0.28,0.341,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,94,0.2996980987728057,0.255,0.255,0.0018778725456486632,0.005311000324963546,0.00718887287061221,101.50753140845583
14553,2017,616,0.253,0.293,0.089,0.206,2.6,0.1119999999999999,0.3289999999999999,0.654,0.461,0.628,0.851,0.757,0.193,0.465,0.342,0.088,0.136,0.353,0.258,0.326,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,235,0.2901547335688533,0.253,0.253,0.0028115183637239657,-0.006399598119158972,-0.0035880797554350063,99.24756731344144
10264,2019,616,0.234,0.275,0.135,0.206,3.6,0.093,0.268,0.75,0.46,0.667,0.868,0.7979999999999999,0.23,0.283,0.487,0.078,0.088,0.414,0.258,0.409,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,146,0.3004404590839608,0.234,0.234,0.008320650273975196,0.01041933732242867,0.018739987596403863,103.9298399629712
